B.Code,A.Level.Name,ED.Mean.T,Out.Unit.Amount,Out.Unit.Time,Out.Unit.Animals,flag
JS0079.1,SDBM3,0.086,kg,day,individual,too_low_kg
JS0093,Diet Con,0.0801818181818182,kg,day,individual,too_low_kg
JS0093,PKC1,0.0870909090909091,kg,day,individual,too_low_kg
JS0093,PKC2,0.0803636363636364,kg,day,individual,too_low_kg
JS0093,PKC3,0.08454545454545451,kg,day,individual,too_low_kg
JS0093,PKC4,0.0861818181818182,kg,day,individual,too_low_kg
JS0093,PKC5,0.08654545454545451,kg,day,individual,too_low_kg
JS0095,100% Straw,0.07959142857142859,kg,day,individual,too_low_kg
JS0123,JCSM3,0.09301000000000001,kg,day,individual,too_low_kg
JS0123,JCSM4,0.09,kg,day,individual,too_low_kg
JS0124,Con,2.0833333333333302e-4,kg,day,individual,too_low_kg
JS0124,Spirulina1,2.0833333333333302e-4,kg,day,individual,too_low_kg
JS0124,Spirulina2,2.16666666666667e-4,kg,day,individual,too_low_kg
JS0124,Spirulina3,2.1904761904761898e-4,kg,day,individual,too_low_kg
JS0124,Spirulina4,2.01190476190476e-4,kg,day,individual,too_low_kg
JS0124,Spirulina5,2e-4,kg,day,individual,too_low_kg
JS0125,100% PBM,0.00302,kg,day,individual,too_low_kg
JS0125,20% PBM,0.0039900000000000005,kg,day,individual,too_low_kg
JS0125,40% PBM,0.00378,kg,day,individual,too_low_kg
JS0125,60% PBM,0.00378,kg,day,individual,too_low_kg
JS0125,80% PBM,0.00352,kg,day,individual,too_low_kg
JS0125,Control,0.00393,kg,day,individual,too_low_kg
JS0134,Con,2.25714285714286e-4,kg,day,individual,too_low_kg
JS0134,Okara1,2.3178571428571402e-4,kg,day,individual,too_low_kg
JS0134,Okara2,2.21309523809524e-4,kg,day,individual,too_low_kg
JS0134,Okara3,2.3202380952381e-4,kg,day,individual,too_low_kg
JS0134,Okara4,2.12738095238095e-4,kg,day,individual,too_low_kg
JS0135,CSM0,8.744897959183669e-4,kg,day,individual,too_low_kg
JS0135,CSM100,7.734693877551019e-4,kg,day,individual,too_low_kg
JS0135,CSM25,8.214285714285709e-4,kg,day,individual,too_low_kg
JS0135,CSM50,8.16326530612245e-4,kg,day,individual,too_low_kg
JS0135,CSM75,8.60204081632653e-4,kg,day,individual,too_low_kg
