"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"275","BO1008","G1","Wheat Bran","Crop Byproduct",105,"g",15
"276","BO1008","G1","Pearl Millet","Crop Product",175,"g",25
"277","BO1008","G1","Atriplex nummularia","Forage Plants",175,"g",25
"278","BO1008","G1","Maize","Crop Product",94.5,"g",13.5
"279","BO1008","G2","Propionibacterium freudenreinchi","Probiotic",0.001,"g",0.000142857142857143
"280","BO1008","G2","Lime","Supplement",7,"g",1
"281","BO1008","G2","Wheat Bran","Crop Byproduct",105,"g",15
"282","BO1008","G2","Pearl Millet","Crop Product",175,"g",25
"283","BO1008","G2","Cotton Seed Cake","Crop Byproduct",112,"g",16
"284","BO1008","G2","Maize","Crop Product",94.5,"g",13.5
"285","BO1008","G2","Unspecified Molasses","Crop Byproduct",10.5,"g",1.5
"286","BO1008","G2","Salt","Other Ingredients",3.5,"g",0.5
"287","BO1008","G2","Atriplex nummularia","Forage Plants",175,"g",25
"288","BO1008","G2","Linseed Cake Ground","Crop Byproduct",17.5,"g",2.5
"289","BO1009","Diet 1","Palm Kernel Cake Dried Ground","Crop Byproduct",195.84,"g",48
"290","BO1009","Diet 1","Brewers Grain","Crop Byproduct",193.8,"g",47.5
"291","BO1009","Diet 2","Cassava Leaves Ground","Crop Byproduct",21.15,"g",5
"292","BO1009","Diet 2","Palm Kernel Cake Dried Ground","Crop Byproduct",160.74,"g",38
"293","BO1009","Diet 2","Cassava Tuber Dried Ground","Crop Byproduct",63.45,"g",15
"294","BO1009","Diet 2","Brewers Grain","Crop Byproduct",158.625,"g",37.5
"295","BO1009","Diet 3","Cassava Leaves Ground","Crop Byproduct",40.9,"g",10
"296","BO1009","Diet 3","Palm Kernel Cake Dried Ground","Crop Byproduct",122.7,"g",30
"297","BO1009","Diet 3","Cassava Tuber Dried Ground","Crop Byproduct",122.7,"g",30
"298","BO1009","Diet 3","Brewers Grain","Crop Byproduct",104.295,"g",25.5
"299","BO1010","A. dilbata","Acacia dealbata Leaves","Forage Plants",25.5552,"g",8.8
"300","BO1010","A. dilbata","Natural Pasture Dried","Forage Plants",90.6048,"g",31.2
"301","BO1010","A. mearnsii","Natural Pasture Dried","Forage Plants",90.0432,"g",31.2
"302","BO1010","A. mearnsii","Acacia mearnsii Leaves","Forage Plants",25.3968,"g",8.8
