"","B.Code","A.Level.Name","diet_intake_kg","Source"
"277","BO1065","MOLM50",0.2253,"feed_intake"
"278","BO1067","0MS",1.505,"feed_intake"
"279","BO1067","15MS",1.525,"feed_intake"
"280","BO1067","30MS",1.6,"feed_intake"
"281","BO1068","10% flaxseed (T3)",2.28481,"feed_intake"
"282","BO1068","10% full fat soya (T1)",2.21062,"feed_intake"
"283","BO1068","5% flaxseed + 5% full fat soya (T2)",2.21394,"feed_intake"
"284","BO1069","BG diet",0.535,"feed_intake"
"285","BO1069","CG diet",0.549,"feed_intake"
"286","BO1069","MRG diet",0.5077,"feed_intake"
"287","BO1070","0% V. amygdalina",0.4216,"feed_intake"
"288","BO1070","100% V. amygdalina",0.2664,"feed_intake"
"289","BO1070","25% V. amygdalina",0.421,"feed_intake"
"290","BO1070","50% V. amygdalina",0.4556,"feed_intake"
"291","BO1070","75% V. amygdalina",0.3727,"feed_intake"
"292","BO1070","BhH",8.85,"feed_intake"
"293","BO1070","NGH",8.1,"feed_intake"
"294","BO1070","NPH",6.21,"feed_intake"
"295","BO1070","TTS",7.71,"feed_intake"
"296","BO1074","0% corn cobs",0.6618,"feed_intake"
"297","BO1074","25% corn cobs",0.6127,"feed_intake"
"298","BO1074","50% corn cobs",0.3387,"feed_intake"
"299","BO1075","Diet 1",0.21954,"feed_intake"
"300","BO1075","Diet 2",0.24838,"feed_intake"
"301","BO1075","Diet 3",0.21042,"feed_intake"
"302","BO1075","Diet 4",0.23568,"feed_intake"
"303","BO1076","0 GBVH",1.308,"feed_intake"
"304","BO1076","100 GBVH",1.314,"feed_intake"
"305","BO1076","25 GBVH",1.31,"feed_intake"
"306","BO1076","50 GBVH",1.311,"feed_intake"
"307","BO1076","75 GBVH",1.312,"feed_intake"
"308","BO1079","CSL 0%",0.49253,"feed_intake"
"309","BO1079","CSL 10%",0.61425,"feed_intake"
"310","BO1079","CSL 20%",0.53939,"feed_intake"
"311","BO1079","CSL 30%",0.55708,"feed_intake"
"312","BO1080","Diet 1",7.36,"feed_intake"
"313","BO1080","Diet 2",7.58,"feed_intake"
"314","BO1080","Diet 3",7.86,"feed_intake"
"315","BO1080","Diet 4",7.43,"feed_intake"
"316","BO1081","0% YPM",0.595,"feed_intake"
"317","BO1081","20% YPM",0.58,"feed_intake"
"318","BO1081","40% YPM",0.57,"feed_intake"
"319","BO1081","60% YPM",0.573,"feed_intake"
"320","BO1082","R1 (0% soybean pulp)",0.482,"feed_intake"
"321","BO1082","R2 (10% soybean pulp)",0.448,"feed_intake"
"322","BO1082","R3 (20% soybean pulp)",0.441,"feed_intake"
"323","BO1084","Elephant grass ensiled alone",0.7684,"feed_intake"
"324","BO1084","Elephant grass ensiled with 10% Dolichos lablab",0.8801,"feed_intake"
"325","BO1084","Elephant grass ensiled with 20% Dolichos lablab",0.9209,"feed_intake"
"326","BO1084","Elephant grass ensiled with 30% Dolichos lablab",0.9549,"feed_intake"
"327","BO1085","Control Diet",1.25,"feed_intake"
"328","BO1085","Diet 1",1.24,"feed_intake"
"329","BO1085","Diet 2",1.23,"feed_intake"
"330","BO1085","Diet 3",1.24,"feed_intake"
"331","BO1085","Diet 4",1.19,"feed_intake"
"332","BO1085","Diet 5",1.28,"feed_intake"
"333","BO1085","Diet 6",1.16,"feed_intake"
"334","BO1087","T1 (100% NSC)",0.82504,"feed_intake"
"335","BO1087","T2 (75 NSC:25 CSH %)",0.85079,"feed_intake"
"336","BO1087","T3 (50 NSC:50 CSH %)",0.864,"feed_intake"
"337","BO1087","T4 (25 NSC:75 CSH %)",0.88758,"feed_intake"
"338","BO1087","T5 (100% CSH)",0.94539,"feed_intake"
"339","BO1088","T1 (cassava peel untreated)",0.91062,"feed_intake"
"340","BO1088","T2 (corn cob untreated)",0.8664,"feed_intake"
"341","BO1088","T3 (treated cassava peel)",0.9792,"feed_intake"
"342","BO1088","T4 (treated corn cob)",0.9472,"feed_intake"
"343","BO1092","0 RCNS",0.45637,"feed_intake"
"344","BO1092","10 RCNS",0.29457,"feed_intake"
"345","BO1092","15 RCNS",0.20769,"feed_intake"
"346","BO1092","5 RCNS",0.40216,"feed_intake"
"347","BO1093","0CPM",0.49609,"feed_intake"
"348","BO1093","100 CPM",0.58099,"feed_intake"
"349","BO1093","60 CPM",0.55678,"feed_intake"
"350","BO1093","80 CPM",0.38891,"feed_intake"
"351","BO1095","Control Post-partum",0.14175,"feed_intake"
"352","BO1095","Treatment Post-partum",0.14875,"feed_intake"
"353","BO1096","0% Sweet Potato Peels",0.7345,"feed_intake"
"354","BO1096","10% Sweet Potato Peels",0.9041,"feed_intake"
"355","BO1096","20% Sweet Potato Peels",0.6756,"feed_intake"
"356","BO1096","30% Sweet Potato Peels",0.7192,"feed_intake"
"357","BO1099","0  Cashew Nut Shell",0.0897,"feed_intake"
"358","BO1099","10  Cashew Nut Shell",0.0897,"feed_intake"
"359","BO1099","15  Cashew Nut Shell",0.0814,"feed_intake"
"360","BO1099","20  Cashew Nut Shell",0.0847,"feed_intake"
"361","CJ1000","280SES",0.677,"feed_intake"
"362","CJ1000","300CFM",0.698,"feed_intake"
"363","CJ1000","330ATELLA",0.73,"feed_intake"
"364","CJ1000","360FAIDH",0.735,"feed_intake"
"365","CJ1001","100 Percent",0.9788,"feed_intake"
"366","CJ1001","33 Percent",0.9374,"feed_intake"
"367","CJ1001","67 Percent",0.9491,"feed_intake"
"368","CJ1001","Zero Percent",0.8783,"feed_intake"
"369","CJ1003","Baobab",5.05,"feed_intake"
"370","CJ1003","Soybean",4.99,"feed_intake"
"371","CJ1003","Vachellia",4.35,"feed_intake"
"372","CJ1004","Feed Blocks",0.4644,"feed_intake"
"373","CJ1004","Gliricidia: leucaena",0.7046,"feed_intake"
"374","CJ1004","Maize off",0.633,"feed_intake"
"375","CJ1004","Poult Manure",0.596,"feed_intake"
"376","CJ1006","R1",15.9,"feed_intake"
"377","CJ1006","R2",16.1,"feed_intake"
"378","CJ1006","R3",15.89,"feed_intake"
"379","CJ1007","alfalfa hay goat",1.25008880040352,"feed_intake"
"380","CJ1007","alfalfa hay sheep",1.26962903163914,"feed_intake"
"381","CJ1007","mixture forage goat",0.769878204653178,"feed_intake"
"382","CJ1007","mixture forage sheep",0.831602860105893,"feed_intake"
"383","CJ1015","20%ALH",1.14407369730753,"feed_intake"
"384","CJ1015","40%ALH",1.21749842911176,"feed_intake"
"385","CJ1015","60%ALH",1.18516000526661,"feed_intake"
"386","CJ1015","Control",1.18589457648012,"feed_intake"
"387","CJ1016","T1",0.386,"feed_intake"
"388","CJ1016","T2",0.2525,"feed_intake"
"389","CJ1016","T3",0.2955,"feed_intake"
"390","CJ1016","T4",0.289,"feed_intake"
"391","CJ1017","25% AFH",1.1193077400337,"feed_intake"
"392","CJ1017","50%AFH",1.16282188127538,"feed_intake"
"393","CJ1017","75%AFH",1.16907383854572,"feed_intake"
"394","CJ1017","Control",1.13697851193397,"feed_intake"
"395","CJ1018","Control",0.540441176470588,"feed_intake"
"396","CJ1018","Maize",0.716176470588235,"feed_intake"
"397","CJ1018","PEG",0.635294117647058,"feed_intake"
"398","CJ1018","Soya",0.755147058823529,"feed_intake"
"399","CJ1018","mixed",0.640441176470588,"feed_intake"
"400","CJ1019","T1",0.74296,"feed_intake"
"401","CJ1019","T2",0.7598,"feed_intake"
"402","CJ1019","T3",0.56428,"feed_intake"
"403","CJ1019","T4",0.48447,"feed_intake"
"404","DK0007","Con",1.26,"feed_intake"
"405","DK0007","T2 ESS",0.72,"feed_intake"
"406","DK0007","T3 EAS",0.82,"feed_intake"
"407","DK0007","T4 SSS",0.85,"feed_intake"
"408","DK0007","T5 SAS",0.95,"feed_intake"
"409","EM1000","Treatment1",0.09443,"feed_intake"
"410","EM1000","Treatment2",0.0913,"feed_intake"
"411","EM1000","Treatment3",0.07533,"feed_intake"
"412","EM1000","Treatment4",0.0824,"feed_intake"
"413","EM1004","Control Ration G1",0.532,"feed_intake"
"414","EM1004","Ration G2",0.53,"feed_intake"
"415","EM1004","Ration G3",0.527,"feed_intake"
"416","EM1005","Control Ration1",1.44375,"feed_intake"
"417","EM1005","Ration 2",1.4625,"feed_intake"
"418","EM1005","Ration3",1.45875,"feed_intake"
"419","EM1006","CTSD",0.37175,"feed_intake"
"420","EM1006","PTC",0.30408,"feed_intake"
"421","EM1006","PTCD",0.3096,"feed_intake"
"422","EM1008","Leucaena 1",1.421,"feed_intake"
"423","EM1008","Leucaena 2",1.472,"feed_intake"
"424","EM1008","Leucaena 3",2.022,"feed_intake"
"425","EM1008","Leucaena 4",1.788,"feed_intake"
"426","EM1011","T1 CM",0.25908,"feed_intake"
"427","EM1011","T2 CM+ML",0.26186,"feed_intake"
"428","EM1011","T3 CM+ML",0.27189,"feed_intake"
"429","EM1011","T4 CM+ML",0.274,"feed_intake"
"430","EM1011","T5 ML",0.26959,"feed_intake"
