"","B.Code","D.Item","P.Product","Herd.Stage","GE_daily","CH4_kg_year","Total_Amount","D.Unit.Amount","CH4_flag","Ym","source","final_intake_kg_day","ED.Mean.T","T.Name","T.Control"
"83","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"84","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"85","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"86","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"87","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"88","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"89","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"90","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"91","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"92","BO1015","46% CFM +51% CS +3% SS (G2)","Goat","Lactating Female",31.9076611135632,11.5102658913707,1.674,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.674,"T2","no"
"93","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"94","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"95","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"96","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"97","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"98","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"99","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"100","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"101","BO1015","46% CFM +51% CS +3% TSS (G4)","Goat","Lactating Female",31.7044171842331,11.4369483373491,1.6635,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.6635,"T4","no"
"102","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"103","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"104","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"105","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"106","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"107","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"108","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"109","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"110","BO1015","50% CFM +50% CS (G1)","Goat","Lactating Female",31.6257706535999,11.408577643684,1.685,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.685,"T1","yes"
"111","BO1016","InHay","Sheep","Lamb",NA,NA,NA,"kg","missing_GE_diet",0.045,"GE_diet_from_ingredients",NA,NA,NA,NA
"112","BO1016","InHay +Cal","Sheep","Lamb",12.08512,3.56690199460916,0.644,"kg","GE_diet_based",0.045,"GE_diet_from_ingredients",NA,0.644,"T1","yes"
"113","BO1016","InHay +Cal +PEG","Sheep","Lamb",NA,NA,0.753,"kg","missing_GE_value",0.045,"GE_all",NA,NA,"T2","no"
"114","BO1016","InHay +Cal +PEG","Sheep","Lamb",NA,NA,0.753,"kg","missing_GE_value",0.045,"GE_all",NA,NA,"T3","no"
"115","BO1017","BRT1","Sheep",NA,-0.271087636,-0.119127549656424,0.101,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Rhodes- T1","yes"
"116","BO1017","BRT2","Sheep",NA,0.0221495381333333,0.00973345831178195,0.0504,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Rhodes- T2","no"
"117","BO1017","BRT3","Sheep",NA,20.2749124916148,8.90966729528195,0.0352,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Rhodes- T3","no"
"118","BO1017","BRT4","Sheep",NA,0.200464854,0.0880928662097035,0.0193,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Rhodes- T4","no"
"119","BO1017","BT1","Sheep",NA,-0.104066772444444,-0.0457314091667366,0.113,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia hay- T1","yes"
"120","BO1017","BT2","Sheep",NA,0.1396027164,0.0613474291026415,0.0739,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia hay- T2","no"
"121","BO1017","BT3","Sheep",NA,0.544356871585185,0.239213787863714,0.0671,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia hay- T3","no"
"122","BO1017","BT4","Sheep",NA,0.572038835437035,0.251378431637245,0.0496,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia hay- T4","no"
"123","BO1017","RT1","Sheep",NA,-0.286184050370371,-0.125761562476324,0.103,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia+Rhodes- T1","yes"
"124","BO1017","RT2","Sheep",NA,-0.0170948167407407,-0.00751219664680708,0.067,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia+Rhodes- T2","no"
"125","BO1017","RT3","Sheep",NA,0.306435803585185,0.134661052590758,0.0583,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia+Rhodes- T3","no"
"126","BO1017","RT4","Sheep",NA,0.360591531555556,0.158459405286453,0.0382,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"Bracharia+Rhodes- T4","no"
"127","BO1018","ASY +ve","Sheep","Gestating Female",25.21124537584,11.0789039652501,1.349,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.349,"ASY +ve","no"
"128","BO1018","ASY +ve","Sheep","Gestating Female",25.21124537584,11.0789039652501,1.349,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.349,"ASY +ve","no"
"129","BO1018","ASY +ve","Sheep","Gestating Female",25.21124537584,11.0789039652501,1.349,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.349,"ASY +ve","no"
"130","BO1018","ASY +ve","Sheep","Gestating Female",25.21124537584,11.0789039652501,1.349,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.349,"ASY +ve","no"
"131","BO1018","BHY+ve","Sheep","Gestating Female",26.51946418704,11.6537914949517,1.419,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.419,"BHY+ve","no"
"132","BO1018","BHY+ve","Sheep","Gestating Female",26.51946418704,11.6537914949517,1.419,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.419,"BHY+ve","no"
"133","BO1018","BHY+ve","Sheep","Gestating Female",26.51946418704,11.6537914949517,1.419,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.419,"BHY+ve","no"
"134","BO1018","BHY+ve","Sheep","Gestating Female",26.51946418704,11.6537914949517,1.419,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.419,"BHY+ve","no"
"135","BO1018","FAY +ve","Sheep","Gestating Female",NA,NA,NA,"kg","missing_amount",0.067,"GE_diet_from_ingredients",NA,NA,"FAY +ve","no"
"136","BO1018","FAY +ve","Sheep","Gestating Female",NA,NA,NA,"kg","missing_amount",0.067,"GE_diet_from_ingredients",NA,NA,"FAY +ve","no"
"137","BO1018","FAY +ve","Sheep","Gestating Female",NA,NA,NA,"kg","missing_amount",0.067,"GE_diet_from_ingredients",NA,NA,"FAY +ve","no"
"138","BO1018","FAY +ve","Sheep","Gestating Female",NA,NA,NA,"kg","missing_amount",0.067,"GE_diet_from_ingredients",NA,NA,"FAY +ve","no"
"139","BO1019","GLM0","Goat",NA,6.085768164,2.19536021369811,0.35049,"kg","amount_from_total_amounts",0.055,"GE_all",NA,NA,"T1","yes"
"140","BO1019","GLM12","Goat",NA,6.299643784,2.2725130092327,0.37085,"kg","amount_from_total_amounts",0.055,"GE_all",NA,NA,"T2","no"
"141","BO1019","GLM24","Goat",NA,6.056892288,2.18494362410782,0.35744,"kg","amount_from_total_amounts",0.055,"GE_all",NA,NA,"T3","no"
"142","BO1019","GLM36","Goat",NA,5.938188024,2.14212263399461,0.35305,"kg","amount_from_total_amounts",0.055,"GE_all",NA,NA,"T4","no"
"143","BO1020","Control group","Sheep","Lactating Female",NA,NA,NA,"kg","missing_amount",0.067,"GE_diet_from_ingredients",NA,NA,"Control group","yes"
"144","BO1020","Moringa leaves group","Sheep","Lactating Female",NA,NA,NA,"kg","missing_amount",0.067,"GE_diet_from_ingredients",NA,NA,"Moringa leaves","no"
"145","BO1021","0% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"0% Nigella sativa","yes"
"146","BO1021","0% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"0% Nigella sativa","yes"
"147","BO1021","0% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"0% Nigella sativa","yes"
"148","BO1021","0% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"0% Nigella sativa","yes"
"149","BO1021","100% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"100% Nigella sativa","no"
"150","BO1021","100% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"100% Nigella sativa","no"
"151","BO1021","100% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"100% Nigella sativa","no"
"152","BO1021","100% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"100% Nigella sativa","no"
"153","BO1021","50% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"50% Nigella sativa","no"
"154","BO1021","50% Nigella sativa","Sheep","Adult Female",NA,NA,NA,NA,"missing_GE_value",0.067,"GE_all",NA,NA,"50% Nigella sativa","no"
