"","B.Code","A.Level.Name","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","P.Product","is_entire_diet","is_group","T.Animals","Out.Unit.Animals","Out.Unit.Time","Out.Unit.Amount","Out.WG.Start","Out.WG.Unit","ED_item_clean"
"128","BO1012","DLL0","Entire Diet","Entire Diet",0.332,0.01,"Feed Intake",NA,TRUE,NA,6,"individual","day","kg",19.8,"kg","entire diet"
"129","BO1012","DLL0","Unspecified Grass Dried","Unspecified Grass||Chopping||Drying",0.541,11.9,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",19.8,"kg","unspecified grass dried"
"130","BO1012","DLL10","Entire Diet","Entire Diet",0.298,0.01,"Feed Intake",NA,TRUE,NA,6,"individual","day","kg",20.5,"kg","entire diet"
"131","BO1012","DLL10","Leucaena Leaves Dried","Leucaena leucocephala Leaves||Chopping||Drying",0.0338,0.04,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",20.5,"kg","leucaena leaves dried"
"132","BO1012","DLL10","Unspecified Grass Dried","Unspecified Grass||Chopping||Drying",0.529,11.9,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",20.5,"kg","unspecified grass dried"
"133","BO1012","DLL15","Entire Diet","Entire Diet",0.282,0.01,"Feed Intake",NA,TRUE,NA,6,"individual","day","kg",19.8,"kg","entire diet"
"134","BO1012","DLL15","Leucaena Leaves Dried","Leucaena leucocephala Leaves||Chopping||Drying",0.0508,0.04,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",19.8,"kg","leucaena leaves dried"
"135","BO1012","DLL15","Unspecified Grass Dried","Unspecified Grass||Chopping||Drying",0.523,11.9,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",19.8,"kg","unspecified grass dried"
"136","BO1012","DLL20","Entire Diet","Entire Diet",0.266,0.01,"Feed Intake",NA,TRUE,NA,6,"individual","day","kg",20.2,"kg","entire diet"
"137","BO1012","DLL20","Leucaena Leaves Dried","Leucaena leucocephala Leaves||Chopping||Drying",0.0677,0.04,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",20.2,"kg","leucaena leaves dried"
"138","BO1012","DLL20","Unspecified Grass Dried","Unspecified Grass||Chopping||Drying",0.497,11.9,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",20.2,"kg","unspecified grass dried"
"139","BO1012","DLL5","Entire Diet","Entire Diet",0.316,0.01,"Feed Intake",NA,TRUE,NA,6,"individual","day","kg",20,"kg","entire diet"
"140","BO1012","DLL5","Leucaena Leaves Dried","Leucaena leucocephala Leaves||Chopping||Drying",0.0169,0.04,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",20,"kg","leucaena leaves dried"
"141","BO1012","DLL5","Unspecified Grass Dried","Unspecified Grass||Chopping||Drying",0.502,11.9,"Feed Intake",NA,FALSE,NA,6,"individual","day","kg",20,"kg","unspecified grass dried"
"142","BO1013","Diet 1","Entire Diet","Entire Diet",0.44244,42.55,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",19.62,"kg","entire diet"
"143","BO1013","Diet 1","Teff Straw","Teff Straw",0.32244,15.78,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",19.62,"kg","teff straw"
"144","BO1013","Diet 2","Entire Diet","Entire Diet",0.78607,42.55,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",19.84,"kg","entire diet"
"145","BO1013","Diet 2","Teff Straw","Teff Straw",0.36607,15.78,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",19.84,"kg","teff straw"
"146","BO1013","Diet 3","Entire Diet","Entire Diet",0.79738,42.55,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",19.98,"kg","entire diet"
"147","BO1013","Diet 3","Teff Straw","Teff Straw",0.37738,15.78,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",19.98,"kg","teff straw"
"148","BO1013","Diet 4","Entire Diet","Entire Diet",0.90764,42.55,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",19.46,"kg","entire diet"
