"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","D.Item.AOM","AOM.Scientific.Name","Source","Units","T.Animals","D.Unit.Standard","Out.WG.Start","Out.WG.Unit","intake_source","ignore_for_balance","T.Name","T.Control"
"84","AG0087","Direct boiling DF 5%","Methionine","Non-ERA Feed;from_pct_using_pred_archimede2014",2.46041828946316e-05,"kg","day","individual","Yes",NA,"Base","AOM_001377",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"85","AG0087","Direct boiling DF 5%","Imported Concentrate","Other Feed;from_pct_using_pred_archimede2014",0.00215286600328026,"kg","day","individual","Yes",NA,NA,"AOM_000805",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"86","AG0087","Indirect boiling DF 1.5%","Methionine","Non-ERA Feed;from_pct_using_pred_archimede2014",2.45204511068202e-05,"kg","day","individual","Yes",NA,"Base","AOM_001377",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"87","AG0087","Indirect boiling DF 1.5%","Lime","Non-ERA Feed;from_pct_using_pred_archimede2014",0.00613011277670506,"kg","day","individual","Yes",NA,"Base","AOM_000760",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"88","AG0087","Indirect boiling DF 1.5%","Fish Boiled Ground","Animal;from_pct_using_pred_archimede2014",0.000919516916505758,"kg","day","individual","Yes",NA,NA,"AOM_001098",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"89","AG0087","Indirect boiling DF 1.5%","Mixture","Non-ERA Feed;from_pct_using_pred_archimede2014",6.13011277670506e-05,"kg","day","individual","Yes",NA,"Base","AOM_000795",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"90","AG0087","Indirect boiling DF 1.5%","Dicalcium Phosphate","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000153252819417626,"kg","day","individual","Yes",NA,"Base","AOM_000757",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"91","AG0087","Indirect boiling DF 1.5%","Salt","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000183903383301152,"kg","day","individual","Yes",NA,"Base","AOM_000772",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",TRUE,"Indirect boiling DF 1.5%","no"
"92","AG0087","Indirect boiling DF 1.5%","Lysine - HCl","Non-ERA Feed;from_pct_using_pred_archimede2014",6.13011277670506e-05,"kg","day","individual","Yes",NA,"Base","AOM_000740",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"93","AG0087","Indirect boiling DF 1.5%","Wheat Bran","Crop Byproduct;from_pct_using_pred_archimede2014",0.0110342029980691,"kg","day","individual","Yes",NA,"Base","AOM_000585","Triticum aestivum","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
"94","AG0087","Indirect boiling DF 1.5%","Groundnut Cake","Crop Byproduct;from_pct_using_pred_archimede2014",0.00736226544482277,"kg","day","individual","Yes",NA,NA,"AOM_001254","Arachis hypogaea","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.16592,"kg","original",FALSE,"Indirect boiling DF 1.5%","no"
